Fecha Inicio Semestre,Etiqueta,Total de Víctimas,KPI
2016-01-01,"Año 2016, Semestre 1",355,11.833333333333332
2016-07-01,"Año 2016, Semestre 2",202,6.733333333333333
2017-01-01,"Año 2017, Semestre 1",386,12.866666666666665
2017-07-01,"Año 2017, Semestre 2",215,7.166666666666667
2018-01-01,"Año 2018, Semestre 1",372,12.4
2018-07-01,"Año 2018, Semestre 2",287,9.566666666666666
2019-01-01,"Año 2019, Semestre 1",296,9.866666666666665
2019-07-01,"Año 2019, Semestre 2",223,7.433333333333333
2020-01-01,"Año 2020, Semestre 1",159,5.3
2020-07-01,"Año 2020, Semestre 2",268,8.933333333333334
2021-01-01,"Año 2021, Semestre 1",287,9.566666666666666
2021-07-01,"Año 2021, Semestre 2",206,6.866666666666666
